title,company,location,skills
Associate Forward Deployed Engineer,Symmetry Systems,Remote,"saas, security, training, technical, code, cloud, management, lead, operations, operational, excel, sales, go, engineer, executive"
Product Security Manager,MoonPay,United States (East Coast Time Zone) - Remote,"security, manager, design, web3, crypto, system, training, technical, support, software, testing, code, voice, financial, serverless, cloud, leader, management, lead, operations, healthcare, engineering, digital nomad"
Cloud Security Engineer,MoonPay,,"security, crypto, system, swift, training, technical, support, code, voice, financial, cloud, management, lead, healthcare, engineer, engineering"
Senior Security Engineer Automation,MoonPay,,"security, crypto, system, swift, training, technical, support, software, voice, financial, cloud, api, strategy, management, senior, operational, excel, healthcare, engineer, engineering, backend"
Associate Director CMC,Allucent,,"director, training, consulting, technical, support, growth, manager, management, lead, content, operations, health, recruitment"
